J_Penduduk;J_P_DBD;J_M_DBD;IR_DBD;CFR_DBD;J_P_DD;J_M_DD;IR_DD;CFR_DD;J_P_N;J_M_Non;IR_Non;CFR_Non;2017;2018;2019;2020;ABJ;Strata_E;Tnh_pek_bang_hlmn;Tanah Sawah;Tanah Kering;J_RT;J_RW;J_Pdd_Lk;J_Pdd_Pr;J_Kep_Kel;J_KBPaud;J_SD;J_MI;J_SMP;J_MTS;J_SMA;J_MA;J_SMK;J_Siswa;J_PT;J_Dosen;J_Mhs;Mini_Market;Toko Kelontong;Resto_RM;WM_Kedai;BPR;KUD;IRT;Total_T_Ibadah;kop_total;pasar_total;instansi_kesehatan;toko_obat
6827;0;0;0;0;4;0;58.9;0;0;0;0;0;2;0;0;0;91.35;3;54.46;0;58.16;64;9;3201;3422;2259;4;4;0;2;0;0;0;1;1688;0;0;0;3;0;6;30;0;0;0;18;0;0;0;2
5206;1;0;19.3;0;3;0;58;0;0;0;0;0;0;0;1;1;94.72;2;69.4;0;79.8;41;6;2503;2651;1732;5;3;0;1;1;0;0;1;680;1;16;73;1;0;0;13;0;0;0;25;1;1;2;7
7790;1;0;13.3;0;10;0;133.1;0;1;0;13.31;0;0;0;0;1;86.92;2;65.33;0;75.56;57;7;3569;3842;2512;11;3;0;2;0;1;0;3;8281;0;0;0;4;80;13;92;2;0;0;34;0;0;3;7
33349;1;0;3;0;26;0;77.6;0;0;0;0;0;3;2;1;1;97.7;1;153.3;207.4;207.4;25;1;16533;16930;10296;25;6;0;2;0;0;0;0;1876;0;0;0;8;130;0;66;0;0;0;49;0;2;2;4
4011;0;0;0;0;3;0;75.5;0;0;0;0;0;1;0;1;0;95.29;2;120;0;131.98;22;5;1978;1968;1184;6;1;0;0;0;0;0;0;403;0;0;0;2;53;0;22;1;0;0;22;1;1;1;0
6492;3;0;45.3;0;6;0;90.6;0;0;0;0;0;0;0;1;3;98.16;2;213.21;109;389.66;41;9;3361;3331;2148;4;3;1;1;1;1;0;0;1696;0;0;0;0;36;0;53;3;1;0;42;1;1;1;2
13557;3;0;22.2;0;31;0;229;0;1;0;7.39;0;2;3;4;3;97.39;1;57.76;2.51;255.05;88;12;6708;6760;4234;9;4;1;1;0;0;0;0;2792;0;0;0;6;130;2;70;1;0;0;49;0;1;3;4
13397;2;0;14.9;0;11;0;82.1;0;1;0;7.47;0;4;1;4;2;93.99;1;67.4;0;84.38;64;8;6502;6774;4169;3;4;0;0;0;0;0;0;1132;1;13;31;4;233;3;143;0;0;0;41;2;1;5;3
14475;0;0;0;0;30;0;207.5;0;5;0;34.59;0;1;1;7;0;94.98;2;222.1;0;235.88;83;11;7103;7254;4700;11;4;0;1;0;1;0;0;679;0;0;0;4;25;7;19;0;0;0;37;2;0;2;4
4057;1;0;24.1;0;7;0;169;0;0;0;0;0;0;0;0;1;94.24;2;97.58;134.74;170.95;22;3;2081;2074;1338;6;2;0;0;0;0;0;0;267;0;0;0;0;2;0;5;0;0;0;28;0;0;1;4
5153;1;0;19.2;0;1;0;19.2;0;0;0;0;0;0;1;1;1;92.31;1;56.5;82.9;123.86;25;5;2588;2662;1676;4;2;1;2;0;2;0;0;994;0;0;0;0;2;0;6;0;0;0;36;0;0;0;0
12443;3;0;24.1;0;27;0;216.6;0;1;0;8.02;0;1;1;4;3;97.25;1;158.5;0;185;98;17;6044;6434;4070;10;4;0;2;0;2;0;1;5227;0;0;0;6;65;3;41;0;0;0;45;3;1;4;8
5552;1;0;17.7;0;5;0;88.7;0;0;0;0;0;0;0;1;1;94.53;2;48;74.05;192.22;26;6;2869;2807;1808;5;3;1;1;0;1;0;0;510;0;0;0;0;11;13;2;0;0;0;37;1;0;1;0
15124;1;0;6.6;0;30;0;197.6;0;3;0;19.76;0;1;5;6;1;95.71;1;95.05;146.5;146.5;11;1;7390;7633;4796;13;3;0;4;0;1;0;1;3936;2;196;6770;8;108;4;72;0;0;0;70;0;1;2;4
2564;0;0;0;0;4;0;156.6;0;0;0;0;0;0;0;0;0;95.8;4;43.35;0;46.6;24;3;1275;1300;921;4;1;0;0;0;0;0;1;348;1;248;9602;1;99;9;17;1;0;0;14;2;0;2;1
15351;6;0;39.2;0;39;0;255.1;0;3;0;19.62;0;2;1;3;6;97.82;1;84.25;0;93.2;105;12;7413;7622;4889;11;5;1;0;0;0;0;1;1575;0;0;0;9;66;6;52;0;0;0;49;4;3;5;7
6459;0;0;0;0;4;0;61.7;0;0;0;0;0;0;0;1;0;97.07;2;32.35;0;33.93;29;4;3284;3320;2149;10;2;0;2;0;1;0;1;2012;0;0;0;2;21;8;27;0;0;0;33;1;1;0;1
13661;0;0;0;0;18;0;131.4;0;3;0;21.9;0;4;0;1;0;97.84;2;78.5;0;140;124;14;6854;7420;5011;6;3;0;1;0;1;0;0;2010;0;0;0;6;105;22;55;1;0;0;20;0;1;1;4
5333;1;0;18.3;0;7;0;128.4;0;0;0;0;0;3;0;1;1;96.49;2;126.7;284.69;211.59;27;7;2763;2693;1667;6;3;0;0;1;0;1;1;646;0;0;0;4;52;2;4;0;0;0;42;1;0;1;4
11560;2;0;17.2;0;38;0;326.8;0;1;0;8.6;0;3;4;3;2;93.75;1;215.95;6.5;233.5;68;11;5778;5885;3689;13;6;0;2;0;2;0;0;2653;0;739;17960;13;54;14;234;0;0;1;41;1;0;3;3
14513;8;0;54.9;0;41;0;281.5;0;1;0;6.86;0;3;1;3;8;91.44;1;150;177;183;12;1;7197;7250;4531;10;6;1;0;1;0;1;1;1780;0;0;0;7;65;0;24;0;0;0;50;0;1;0;4
9375;3;0;31.7;0;16;0;168.9;0;4;0;42.23;0;2;0;3;3;96.26;2;89;123.6;135.6;9;1;4702;4736;2866;11;3;1;1;0;1;0;0;1230;0;0;0;4;27;1;19;0;0;0;53;1;1;1;4
15463;1;0;6.4;0;34;0;218.1;0;3;0;19.24;0;5;0;7;1;94.49;2;132.2;189;189;14;1;7731;8032;4886;13;4;1;0;1;0;0;1;1524;1;14;442;7;11;1;13;0;0;0;38;1;1;2;6
3589;0;0;0;0;4;0;111.9;0;0;0;0;0;0;0;0;0;95.68;4;68.84;0;79.99;33;5;1727;1939;1333;5;4;0;2;0;2;0;1;2368;0;0;0;2;20;15;60;0;0;0;18;0;1;2;3
2659;0;0;0;0;2;0;76.1;0;0;0;0;0;1;0;0;0;97.51;4;26.23;0;30.33;34;5;1239;1408;943;3;1;1;2;0;0;0;3;2517;1;357;14805;1;42;3;58;1;0;0;16;1;0;3;1
5574;2;0;36.1;0;5;0;90.2;0;0;0;0;0;0;0;2;2;95.92;2;30.69;0;36.79;43;6;2757;2978;1968;2;4;0;2;0;0;0;1;2092;0;0;0;7;28;1;31;0;0;0;20;1;0;1;3
7103;2;0;27.8;0;12;0;166.6;0;0;0;0;0;3;2;0;2;96.76;2;52.32;149.99;252.63;6;1;3635;3567;2195;9;2;1;1;1;0;1;0;1170;0;0;0;3;64;3;25;0;0;0;36;3;0;1;0
5873;0;0;0;0;2;0;33.5;0;0;0;0;0;0;0;0;0;92.78;3;35.35;0;134.74;33;5;3021;2981;1786;6;0;2;0;2;0;1;0;629;0;0;0;0;36;0;4;0;0;0;24;0;0;0;0
1799;0;0;0;0;2;0;105.7;0;1;0;52.85;0;1;0;0;0;97.02;4;10.22;31.25;494.47;26;6;1027;1012;639;4;1;0;0;0;0;0;0;175;0;0;0;2;12;5;5;0;0;0;11;1;0;0;2
6487;0;0;0;0;3;0;46.8;0;0;0;0;0;2;0;3;0;91.97;2;44.1;0;50.1;50;8;3042;3289;2200;11;4;0;3;0;1;0;1;5622;1;10;305;2;45;19;19;0;0;0;26;0;2;6;9
6353;0;0;0;0;11;0;174.6;0;1;0;15.87;0;1;1;0;0;94.62;2;46.46;0;48.06;5;39;3028;3181;2089;5;4;0;0;0;0;0;0;1265;0;0;0;4;33;19;30;1;0;0;29;3;0;4;4
4107;0;0;0;0;1;0;24.2;0;0;0;0;0;0;0;0;0;94.95;3;41.7;105.52;138.83;20;6;2035;2065;1321;9;4;1;2;0;2;1;0;2417;0;0;0;2;48;0;-1;0;1;0;30;1;0;0;1
14322;5;0;34.8;0;38;0;264.3;0;1;0;6.96;0;2;0;5;5;94.52;2;222;228.5;238.5;16;1;7115;7215;4377;16;3;1;0;1;0;1;0;545;1;65;1341;6;20;2;79;0;0;0;69;0;1;1;7
4988;0;0;0;0;4;0;84.6;0;0;0;0;0;1;0;1;0;94.56;2;51.11;0;74.11;49;6;2195;2357;1598;4;5;0;0;0;0;0;1;1567;0;0;0;4;55;23;51;0;0;0;24;0;0;1;10
8424;1;0;11.8;0;7;0;82.9;0;2;0;23.7;0;0;0;2;1;73.36;2;54.5;0;60;47;5;4445;4498;3015;8;0;0;0;0;0;0;1;355;0;0;0;1;99;20;25;0;0;0;28;0;0;0;3
8987;0;0;0;0;5;0;54.3;0;0;0;0;0;0;0;0;0;96.53;4;17.44;79.2;892.85;60;12;4656;4720;2935;7;3;1;1;0;0;0;1;914;0;0;0;0;90;0;14;0;0;0;32;0;0;0;0
1920;2;0;102.8;0;22;0;1130.5;0;1;0;9.3;0;0;0;1;2;95.2;2;30.88;88.51;72.57;9;3;1008;945;653;4;1;1;0;2;0;2;1;1240;0;0;0;2;9;1;4;0;0;0;20;1;0;0;0
5606;0;0;0;0;1;0;17.7;0;0;0;0;0;0;0;1;0;96.19;2;46.32;87.78;203.78;28;5;2882;2835;1798;5;2;2;0;0;0;0;0;306;0;0;0;0;5;0;10;0;0;0;25;0;0;0;0
22569;6;0;26.3;0;57;0;250.2;0;1;0;4.39;0;4;4;5;6;94.47;1;316.3;0.5;392.43;140;16;11524;11543;7015;16;4;0;2;0;1;0;0;2020;0;0;0;8;95;3;18;0;0;0;78;8;0;4;7
4502;0;0;0;0;3;0;66.8;0;0;0;0;0;2;0;0;0;95.98;4;45.15;0;49.24;34;6;2253;2313;1539;3;2;0;2;0;0;0;0;960;0;0;0;0;155;3;3;0;0;0;23;1;0;0;1
4901;2;0;40.3;0;5;0;100.8;0;0;0;0;0;0;0;0;2;93.48;2;38.68;468.95;238.23;20;5;2495;2508;1694;5;2;0;0;1;0;0;0;352;0;0;0;1;13;0;10;0;0;0;37;0;0;0;0
8597;1;0;11.6;0;1;0;11.6;0;0;0;0;0;1;1;1;1;96.82;1;42.02;0;48.02;49;6;4329;4569;3016;7;3;0;0;0;0;0;0;724;0;0;0;4;38;9;57;0;0;0;21;0;2;2;3
16702;5;0;30.9;0;42;0;259.8;0;1;0;6.18;0;5;0;10;5;93.66;2;33.77;0;100.25;94;14;7936;8023;5106;16;8;2;2;0;0;0;0;3081;0;0;0;10;99;1;68;3;0;0;97;0;2;4;5
2253;0;0;0;0;1;0;44.4;0;0;0;0;0;1;0;1;0;96.89;2;111.71;5.36;465.09;12;3;1137;1120;686;4;1;1;0;0;0;0;0;96;0;0;0;8;15;5;60;0;0;0;9;0;0;0;1
7673;2;0;26.2;0;6;0;78.5;0;0;0;0;0;1;0;4;2;87.04;2;30.22;0;66.22;52;7;3737;3841;2481;6;4;0;2;0;0;0;1;2367;0;0;0;3;30;5;45;0;0;0;16;0;1;4;6
4014;0;0;0;0;1;0;25.1;0;1;0;25.12;0;0;1;0;0;90.86;2;55.4;0;58.4;43;7;1921;1963;1355;3;0;1;0;0;0;0;0;363;1;35;110;0;0;0;2;0;0;0;20;0;1;3;4
15552;2;0;13;0;24;0;155.7;0;2;0;12.97;0;5;0;0;2;86.08;2;84.3;0;99.2;131;15;7374;7752;4950;12;3;1;1;0;0;0;1;1913;0;0;0;3;0;10;15;0;0;0;50;1;2;2;17
12153;6;0;48.8;0;27;0;219.8;0;0;0;0;0;1;0;12;6;91.2;2;300;275;595;55;9;6236;6145;3771;8;2;4;0;2;0;1;0;417;0;0;0;0;35;0;4;0;0;0;66;0;0;0;0
7538;3;0;39.3;0;11;0;144.2;0;1;0;13.11;0;0;0;2;3;92.93;2;100;8.06;168;55;7;3772;3862;2446;4;4;0;0;1;0;1;0;458;1;15;307;4;4;0;14;0;0;0;33;0;0;1;3
3592;0;0;0;0;7;0;197.1;0;0;0;0;0;0;0;1;0;93.09;2;43.8;0;53.7;33;6;1691;1846;1210;5;2;0;1;0;0;0;0;1081;2;16;270;6;49;0;105;0;0;0;19;5;0;0;4
8247;3;0;37.1;0;18;0;222.5;0;0;0;0;0;0;1;1;3;93.71;1;87.48;17;99.88;52;9;4110;4091;2506;3;3;0;1;0;0;0;0;916;0;0;0;3;20;2;30;0;0;0;23;0;1;2;3
15054;3;0;19.8;0;43;0;284;0;3;0;19.81;0;6;0;8;3;93.44;2;162.32;0;318.15;103;11;7516;7751;4636;14;4;1;2;0;1;0;0;2760;2;91;1626;8;94;12;109;0;0;0;48;2;0;3;14
10706;2;0;18.6;0;22;0;204.6;0;1;0;9.3;0;2;1;1;2;95.01;1;90.93;0;96.81;7;57;5191;5432;3336;13;4;0;2;0;2;0;1;3010;2;237;13068;7;172;10;115;1;0;0;34;6;0;3;5
8257;1;0;12.1;0;12;0;145.7;0;0;0;0;0;1;1;2;1;90.75;1;57.4;0;66.8;50;8;3925;4205;2816;7;6;0;0;0;0;0;0;2985;0;0;0;2;0;3;16;0;0;0;24;1;0;0;15
9068;0;0;0;0;6;0;66.1;0;0;0;0;0;2;0;0;0;98.43;4;31.5;3;44.67;52;9;4551;4530;2831;7;3;0;2;0;0;0;0;1875;0;0;0;3;25;0;13;0;0;0;30;0;0;0;3
8694;2;0;22.8;0;15;0;171;0;0;0;0;0;0;0;5;2;87.73;2;108.6;5;108.6;32;7;4446;4360;2748;7;2;2;0;0;0;0;0;546;2;1148;37091;8;50;0;12;0;0;0;52;0;1;2;4
3273;2;0;61.1;0;3;0;91.7;0;0;0;0;0;0;0;0;2;95.57;2;43.13;0;58.88;20;3;1596;1733;1157;5;3;0;2;0;3;0;0;2464;0;0;0;3;10;12;78;1;0;0;14;2;0;3;8
12861;0;0;0;0;12;0;91.6;0;1;0;7.63;0;4;0;7;0;97.53;2;117.4;0;208.9;71;10;6719;6584;3923;11;2;1;1;0;0;0;0;1259;0;0;0;1;45;1;21;0;0;0;36;0;0;1;3
22188;3;0;13.4;0;49;0;219.3;0;0;0;0;0;4;0;22;3;93.58;2;211.72;0;328.72;119;10;11252;11271;6957;15;2;2;0;0;0;0;0;810;0;0;0;5;89;1;68;0;0;0;59;2;1;0;10
37160;14;0;37.3;0;100;0;266.7;0;8;0;21.33;0;11;2;26;14;93.79;1;285.04;12;449;292;32;18711;19130;11224;29;7;0;4;1;0;0;1;5142;0;0;0;16;204;4;116;3;0;0;90;0;2;2;35
8110;2;0;23.9;0;4;0;47.8;0;0;0;0;0;0;0;3;2;88.08;2;24.5;0;33.42;38;4;4181;4244;2668;3;1;0;0;0;1;0;1;1451;1;22;529;6;56;2;37;1;0;0;22;1;0;0;4
13324;1;0;7.5;0;27;0;202.4;0;2;0;14.99;0;0;1;2;1;90.96;1;226.54;5.11;283.13;64;11;6627;6640;4314;12;3;0;1;0;0;0;0;1180;0;0;0;3;42;7;61;0;0;0;47;3;1;4;6
21113;4;0;19;0;34;0;161.2;0;1;0;4.74;0;3;2;5;4;90.17;1;174.58;0.5;225.98;130;18;10229;10817;6839;21;8;0;5;0;2;0;3;7551;0;0;0;18;125;25;132;5;1;0;89;5;1;5;17
14234;7;0;48.5;0;53;0;367;0;1;0;6.92;0;5;3;8;7;94.35;1;15;0;15;83;12;7211;7188;4378;13;5;2;2;0;1;0;2;903;0;0;0;1;13;3;13;0;1;0;72;0;0;0;1
9442;2;0;21.1;0;19;0;200.8;0;2;0;21.13;0;2;1;3;2;95.93;1;152.5;0;185;46;5;4646;4795;2992;9;4;0;1;0;0;0;0;2232;0;0;0;8;48;20;92;1;0;0;40;3;0;3;7
6555;1;0;15.1;0;9;0;135.7;0;0;0;0;0;0;0;0;1;97.59;2;94.54;152.58;153.56;30;6;3298;3357;2133;5;3;1;1;1;0;0;0;908;0;0;0;3;29;16;1;0;0;0;41;0;0;0;1
20964;6;0;28.7;0;19;0;90.9;0;0;0;0;0;1;0;8;6;95.75;2;70.3;0;197.75;119;16;10362;10502;6532;17;6;1;0;0;1;0;0;2649;2;515;17735;4;197;3;80;3;0;0;94;0;0;4;12
3292;0;0;0;0;5;0;150.6;0;0;0;0;0;0;0;1;0;95.28;2;39.9;2;164.86;23;7;1600;1697;1034;3;2;0;1;0;0;0;0;1042;0;0;0;2;75;1;1;0;0;0;14;0;0;0;2
10161;0;0;0;0;8;0;79;0;0;0;0;0;0;1;1;0;91.61;2;54.16;0;74.58;54;9;4931;5096;3184;10;5;0;1;0;1;0;0;1282;0;0;0;3;20;14;14;0;0;0;28;1;0;0;0
4997;4;0;78.2;0;10;0;195.6;0;0;0;0;0;0;0;1;4;94.68;2;72.18;86.86;272.75;14;4;2539;2542;1636;5;3;0;0;0;0;0;0;870;0;0;0;3;61;1;32;0;0;0;25;0;1;1;0
24670;9;1;36.4;4;46;0;185.9;0;0;0;0;0;10;1;14;9;76.62;1;331.17;0;374.7;128;14;12320;12402;7658;18;7;1;0;0;0;0;0;1826;0;0;0;3;79;5;37;0;0;0;70;2;0;1;1
29561;3;0;10.1;0;22;0;74.4;0;0;0;0;0;5;1;6;3;87.64;1;273.78;0;323.78;129;16;15120;15027;9641;12;6;1;1;0;0;0;0;1571;1;7;109;3;58;13;148;0;0;0;104;0;2;1;4
7551;0;0;0;0;11;0;145.2;0;3;0;39.59;0;0;0;0;0;89.8;3;127.27;0;199.57;50;10;3672;3850;2352;9;4;1;2;1;2;0;0;2012;1;50;982;4;55;1;21;0;0;0;26;1;1;0;13
6966;0;0;0;0;16;0;228.7;0;0;0;0;0;1;1;0;0;98.06;2;131.21;2;206.21;47;10;3348;3558;2226;4;3;0;2;0;2;0;1;3147;1;13;106;3;25;9;20;1;0;0;24;0;0;1;6
13890;3;0;21.6;0;21;0;151.5;0;1;0;7.22;0;2;0;11;3;92.41;2;66.22;0;77.19;95;13;6633;6989;4457;8;3;0;0;0;0;0;0;485;0;0;0;1;45;3;50;1;0;0;62;1;0;3;1
5659;1;0;17.5;0;16;0;280;0;1;0;17.5;0;4;2;0;1;97.45;2;185.28;3.6;264.63;38;8;2858;2829;1780;8;1;0;0;0;0;0;0;405;2;2193;61810;10;26;5;99;0;0;0;16;0;0;2;4
584;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;96.57;4;65;0;235.59;6;2;278;299;184;1;0;0;1;0;1;0;0;589;1;564;17580;1;6;0;24;0;0;0;14;1;1;1;2
1439;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;93.15;3;40.2;0;285.4;8;2;738;690;442;1;1;0;1;0;0;0;0;153;0;0;0;1;5;0;3;0;0;0;6;0;0;0;0
9660;1;0;10.3;0;7;0;72.1;0;2;0;20.6;0;1;0;2;1;95.7;2;74.22;0;202.48;46;8;4895;4845;3170;8;4;0;2;0;1;0;1;833;0;0;0;4;32;5;84;1;0;0;34;2;1;1;1
15350;2;0;12.9;0;15;0;96.6;0;2;0;12.87;0;2;2;7;2;98.5;1;148.9;193.9;193.9;11;1;7883;7836;4658;13;2;1;1;0;0;0;0;1546;0;0;0;5;18;1;22;1;0;0;50;0;0;0;2
32786;4;0;12.2;0;42;0;127.9;0;5;0;15.23;0;7;4;3;4;97.15;1;217.9;278.5;278.5;28;1;16170;16563;10416;29;8;2;1;1;0;1;2;3388;2;2084;24022;7;167;11;219;4;0;0;166;4;3;10;25
8656;0;0;0;0;10;0;113.9;0;2;0;22.78;0;3;0;5;0;93.61;2;89;125.5;125.5;4;1;4479;4457;2644;9;3;1;0;1;0;1;0;1112;0;0;0;3;53;14;47;1;0;0;36;1;0;2;1
3537;0;0;0;0;0;0;0;0;1;0;28.24;0;0;0;0;0;93.49;3;83.7;30;318.53;20;4;1750;1778;1074;1;2;0;0;0;0;0;0;305;0;0;0;2;10;1;25;0;0;0;13;2;0;2;1
7564;1;0;13.1;0;11;0;144.4;0;0;0;0;0;2;0;0;1;91.39;2;129.92;118.79;744.01;36;5;3770;3780;2396;6;3;1;1;0;0;0;0;899;0;0;0;4;36;4;36;1;0;0;33;0;0;0;0
5171;1;0;18.9;0;9;0;169.8;0;0;0;0;0;0;0;0;1;97.08;2;38.28;220;193.31;36;4;2663;2758;1711;1;2;1;0;1;0;1;0;612;0;0;0;0;70;0;26;0;0;0;15;1;0;2;4
10413;1;0;9.9;0;11;0;109;0;2;0;19.82;0;2;1;4;1;92.31;1;76.77;0;81.1;81;13;4927;5060;3358;6;1;0;2;0;2;0;1;2638;3;107;2381;8;80;19;31;0;0;0;20;1;1;3;14
9444;4;0;41.3;0;27;0;278.6;0;0;0;0;0;0;0;4;4;96.75;2;100;9;1002.91;27;4;1897;1947;1249;8;2;0;1;0;0;0;0;3364;0;0;0;0;5;0;12;0;0;0;49;0;0;0;0
3688;0;0;0;0;6;0;159.3;0;0;0;0;0;0;0;0;0;96.75;4;100;87.36;1372.17;52;10;4937;4927;2998;3;3;1;3;3;2;2;1;665;0;0;0;4;50;0;50;0;0;0;18;0;0;0;2
23137;3;0;12.9;0;12;0;51.4;0;1;0;4.29;0;1;1;4;3;95.36;1;58.19;47;108.03;130;16;11768;11765;7218;18;4;1;1;1;0;1;1;1234;1;17;694;8;135;2;23;0;0;0;53;1;1;2;6
8280;0;0;0;0;14;0;169.4;0;0;0;0;0;3;0;4;0;85.81;2;59.63;0;63.27;47;6;3967;4166;2712;3;3;0;1;0;0;0;0;1801;1;21;392;3;52;8;38;0;0;0;29;1;1;2;1